employee,words,department,email
Isak Baza,"Casino,Coffee,Gastech,Lunch,Policy,Report,Strange Network Activity,Spam,Hackathon,Conference",IT,"Remember Casino night!,Are you buying coffee?,GT Seismic Processor Pro Bug Report,Who's up for lunch?,Changes to travel policy,Conference report,Seeing strange network activity,The most creative spam I've seen lately.,Hackathon Friday night - my place"
Isanda Borrasca,"Audit,Data,Downhole,GIS,Openhole,Report,Schedule,Vacation,Wellhead",Engineering,"Equipment audit approaching,Wellhead flow rate data - overpressure at well 1783-03?,Wellhead flow rate data,Downhole prediction 2522-00 - check your parameters,GIS update,2516-00 openhole logging results,Well 1033-01 stabilization progress report,Field work rotation schedule,Vacation donation request"
Isia Vann,"Cute,Flowers,Schedule,Vacation,VIP Visit",Security,"Awwww- cute!,Did you like the flowers?,Vacation scheduling procedures,Security procedures for January 20 VIP visit"
Kanon Herrero,"Casino,Concert,Meeting,Schedule,Vacation,VIP Visit",Security,"Remember Casino night!,Concert tickets,Late for meeting,Vacation scheduling procedures,Security procedures for January 20 VIP visit"
Kare Orilla,"Concert,Data,Funny,GIS,Openhole,Plants,Schedule,Wellhead",Engineering,"Concert,Wellhead flow rate data - overpressure at well 1783-03? ,Ha ha,GIS update,2516-00 openhole logging results,Favor - water plants please next month,Field work rotation schedule"
Lars Azada,"Casino,Data,Downhole,Gastech,GIS,Meeting,Schedule,Wellhead",Engineering,"Remember Casino night!,Wellhead flow rate data,Wellhead flow rate data - overpressure at well 1783-03?,Downhole prediction 2522-00,GASTech announcements,GIS update,Meeting,Field work rotation schedule"
Lidelse Dedos,"Data,Downhole,Funny,GIS,Report,Schedule,Wellhead",Engineering,"Wellhead flow rate data,Downhole prediction 2522-00,Downhole prediction 2522-00 - updated,Downhole logging scheduled for 2516-00,Ha ha,GIS update,Well 1033-01 stabilization progress report,Field work rotation schedule"
Linda Lagos,"Babysitting,Catering,Cute,Funny,Training",Administration,"Babysitting recommendations,Catering?!?,Awwww- cute!,Too funy - you have to see this,Training question,Training opportunity"
Linnea Bergen,"Birthdays,Plants,Virus Detected",IT,"Upcoming birthdays,Favor - water plants please next month,Action: Virus detected on your system"
Loreto Bodrogi,"Plants,Schedule,Training,VIP Visit,Virus Detected",Security,"Plants,Patrol schedule changes,Mandatory training,Security procedures for January 20 VIP visit,Action: Virus detected on your system"
Lucas Alcazar,"Conference,Gastech,Plants,Report,Spam,Strange Network Activity,Training,Hackathon",IT,"Conference report,GT Seismic Processor Pro Bug Report,GT website under attack,Favor - water plants please next month,Software review report,Spam reports"
Marin Onda,"Cased-hole,Data,Funny,GIS,Meeting,Schedule,VIP Visit,Wellhead",Engineering,"Cased-hole inspection schedule,Wellhead flow rate data,NO DECAF - HA HA,GIS update,How to Prepare for the January 20 VIP Meetings"
Mat Bramar,"Audit,Babysitting,Birthdays,Casino,Catering,Coupon Club,Funny,Gastech,Lottery,Meeting,Staff Picnic,Policy,Training,Vacation,VIP Visit,Lunch",Administration,"Equipment audit approaching,Babysitting recommendations,Upcoming birthdays,Remember Casino night!,Catering?!?,Coupon club,Joke - funny!,Too funy - you have to see this...,GASTech announcements,Parking lottery winners,How to Prepare for the January 20 VIP Meetings,Planning for staff picnic,Changes to travel policy,Updated Safety Policies,Overtime policy reminder,Mandatory training,Training opportunity,Vacation donation request,News on VIP Visit January 20 - Please Read!,Need a ride to lunch later"
Minke Mies,"Concert,Cute,Meeting,Virus Detected",Security,"Concert,Awwww- cute!,Late for meeting,Action: Virus detected on your system"
Nils Calixto,"Concert,Gastech,Meeting,Report,Sick,Spam,Strange Network Activity,Conference",IT,"Concert,GT Seismic Processor Pro Bug Report,Late for meeting,Draft report - comments needed by Monday,Conference report,Software review report,Going home sick,Spam reports,The most creative spam I've seen lately.,Seeing strange network activity"
Orhan Strum,"Funny,IPO,Plants,Politics,Profit",Executive,"Ha ha,IPO,Managing perceptions about the IPO,Plants,Favor - water plants please next month,Impact of Kronos politics on upcoming rollout,Impact of local politics on profit margin,Maximizing quarterly profits"
Rachel Pantanal,"Babysitting,Coffee,Funny,Training",Administration,"Babysitting recommendations,Are you buying coffee?,Too funy - you have to see this...,Training opportunity"
Ruscella Mies Haber,"Babysitting,Catering,Gastech,Plants,VIP Visit,Virus Detected",Administration,"Babysitting recommendations,Catering?!?,Good morning, GasTech!,Plants,Question - Protocol for VIP visit,Action: Virus detected on your system"
Sten Sanjorge Jr.,"Golf,IPO,Meeting,Politics,Vacation,Profit",Executive,"Impromptu golf vacation - who's in?,IPO,Managing perceptions about the IPO,Reception after the corporate meeting Monday morning,Impact of Kronos politics on upcoming rollout,Impact of local politics on profit margin,Recommend a good vacation spot?"
Stenig Fusil,"Cute,Sick",Security,"Awwww- cute!,Hey I'm going home sick."
Sven Flecha,"Conference,Gastech,Lunch,Report,Spam,Strange Network Activity,Hackathon",IT,"Conference report,GT Seismic Processor Pro Bug Report,Who's up for lunch?,Software review report,Draft report - comments needed by Monday,The most creative spam I've seen lately.,Seeing strange network activity,Hackathon Friday night - my place"
Valeria Morlun,"Funny,Guys Night Out,Meeting,VIP Visit",Facilities,"Funny!!,Guys night out - sorry ladies,Union meeting,Facilities preparations for VIP visit"
Varja Lagos,"Cute,Schedule,Vacation,VIP Visit",Security,"Awwww- cute!,Vacation scheduling procedures,Patrol schedule changes,Security procedures for January 20 VIP visit,Notification of outside visit"
Varro Awelon,"Audit,Lunch,Policy,Don't Text and Drive,Traffic Advisory",Facilities,"Equipment audit approaching,Need a ride to lunch later,New refueling policies - Effective February 1,Don't text and drive!,Traffic advisory for today"
Vira Frente,"Cute,Data,Downhole,Funny,GIS,Sick,Wellhead",Engineering,"Awwww- cute!,Wellhead flow rate data,Wellhead flow rate data - overpressure at well 1783-03?,Downhole prediction 2522-00,Downhole prediction 2522-00 - check your parameters,NO DECAF - HA HA,GIS update,Hey I'm going home sick."
Willem Vasco Pais,"Golf,IPO,Meeting,Plants,Politics,Profit,Vacation",Executive,"Impromptu golf vacation - who's in?,IPO,Managing perceptions about the IPO,Late for meeting,Meeting,Favor - water plants please next month,Impact of local politics on profit margin,Maximizing quarterly profits,Recommend a good vacation spot?"
